,CD20,CD3,CD4,CD44,CD45,CD68,CK14,CK19,Ecad,ER,LamAC,PCNA,pHH3,batch
JE-TMA-41_scene11_cell1349,0.82915133,0.6519111,0.74319524,0.2117997,0.7208727,0.8178892,0.9546954,0.39734274,0.75768495,0.40994036,0.62611616,0.27096945,0.4391108,JE-TMA-41
JE-TMA-41_scene11_cell3261,0.35636437,0.22009152,0.34335035,0.530741,0.49489835,0.5070768,0.5263605,0.21255356,0.41087154,0.4724613,0.3821116,0.21946813,0.13387612,JE-TMA-41
JE-TMA-41_scene11_cell2322,0.79014105,0.37238547,0.6227124,0.060608495,0.52108186,0.35606217,0.61211467,0.2968284,0.35213864,2.6908667,0.8335746,0.4315874,0.336291,JE-TMA-41
JE-TMA-41_scene11_cell2851,0.5465901,0.949811,0.87050384,0.97517693,0.7755996,0.65928197,0.72384334,1.1071943,0.7065812,1.0057621,0.804814,0.32915893,0.42687196,JE-TMA-41
JE-TMA-41_scene11_cell1650,0.3062881,0.26766205,0.2830262,0.604464,0.49005204,0.2123007,0.60562617,0.839753,0.33804414,0.9896541,0.56585234,0.04345803,0.1687205,JE-TMA-41
JE-TMA-41_scene11_cell1885,0.3684407,0.39542562,0.41398925,0.5722675,0.6258467,0.38440004,0.45033163,0.46390083,0.48677987,0.41992795,0.26204547,0.11466587,0.110970415,JE-TMA-41
JE-TMA-41_scene11_cell2790,0.45449984,0.2921757,0.45591602,0.21258873,0.51041806,0.66085345,0.6394279,0.15274383,0.29510313,0.46432358,0.4237744,0.25028634,0.38911834,JE-TMA-41
JE-TMA-41_scene11_cell2572,0.60018224,0.41605404,0.8585027,0.220534,0.70907974,1.0294751,0.50893533,0.5666277,0.4913355,0.36950633,0.85348195,0.312738,0.49313733,JE-TMA-41
JE-TMA-41_scene11_cell2557,0.4217917,0.8419972,1.063767,0.87043005,0.7858548,0.29188484,0.48124975,0.3502538,0.5962133,1.0149907,0.47714114,0.19935423,0.30619273,JE-TMA-41
JE-TMA-41_scene11_cell2491,0.59540254,0.4690109,0.95336586,0.54687095,0.7326259,0.8330384,0.48694938,0.5245398,1.0601618,2.802325,0.74548215,0.56834316,0.4924302,JE-TMA-41
JE-TMA-41_scene11_cell1665,0.48656717,0.29394695,0.47086746,0.5633575,0.43584964,0.4090555,0.61202765,0.12611012,0.40935034,0.3519968,0.7615713,0.3641135,0.42964044,JE-TMA-41
JE-TMA-41_scene11_cell2623,0.5478341,0.39917392,0.81112385,0.1837746,0.63567376,0.98954254,0.7081265,0.97865075,0.45856756,0.6580445,0.63959986,0.28610337,0.43459618,JE-TMA-41
JE-TMA-41_scene11_cell1377,0.44759303,0.31970936,0.47987133,0.46809897,0.61220914,0.66755444,0.41590998,0.25389782,0.9248905,0.9124899,0.6951528,0.31085318,0.23787344,JE-TMA-41
JE-TMA-41_scene11_cell3516,0.47010037,0.29193687,0.42881027,0.17147402,0.519636,0.41223317,0.57798,0.681411,0.25244412,0.47619668,0.39419588,0.11318921,0.1825147,JE-TMA-41
JE-TMA-41_scene11_cell1897,0.64824957,0.4814247,0.8303202,0.16324097,0.6613502,0.73561454,0.5956959,0.2635126,0.60598505,0.5732583,1.051033,0.4600813,0.37014323,JE-TMA-41
JE-TMA-41_scene11_cell2876,0.5700952,0.36596143,0.9109716,0.29094145,0.77269715,0.7870565,0.7254345,0.57793474,0.56467175,0.013419269,0.43659842,0.28515476,0.32735956,JE-TMA-41
JE-TMA-41_scene11_cell2852,0.6424882,0.48823422,0.85585046,0.38314882,0.6580206,0.4716223,1.058182,1.8204368,0.35275316,0.9496486,0.49038878,0.1467939,0.14369914,JE-TMA-41
JE-TMA-41_scene11_cell1337,1.0982691,0.79403996,1.0501359,0.32594493,0.8854967,1.1650184,0.72972935,0.7676776,0.88712937,0.5644663,0.9658811,0.48078105,0.6906258,JE-TMA-41
JE-TMA-41_scene11_cell2812,0.64648396,0.4591344,0.9061281,0.27583432,0.75175256,0.99636513,0.8106116,0.7193121,0.59515613,0.39262947,0.824721,0.31082195,0.29544294,JE-TMA-41
JE-TMA-41_scene11_cell2402,0.5032617,0.49733803,0.69455814,0.16459906,0.6517136,0.5122893,0.5411112,0.5468455,0.4133794,0.5639809,0.60558265,0.24348685,0.15399654,JE-TMA-41
JE-TMA-41_scene11_cell935,0.2476985,0.53900576,0.34573036,1.0453278,0.38635695,0.3437477,0.7861109,0.19749409,0.48418102,0.515202,0.49838474,0.47424626,0.44721583,JE-TMA-41
JE-TMA-41_scene11_cell3481,0.37239128,0.6144171,0.6470389,1.092455,0.57114816,1.0566369,1.2404405,1.5918331,0.49181727,0.4775758,0.52155274,0.17822756,0.45581722,JE-TMA-41
JE-TMA-41_scene11_cell1922,0.7464926,0.5464254,0.70840067,0.18462063,0.64951104,0.5110444,0.9211777,0.34195584,0.70207477,0.4662126,0.9516776,0.36154744,0.39814824,JE-TMA-41
