,CD20_Ring,CD44_Ring,CD45_Ring,CD4_Ring,CD68_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,LamAC_Nuclei,PCNA_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene049_cell02238,3045.2554,439.35638,1516.6915,1740.7554,373.43616,1710.2872,260.4947,3224.6729,390.04254,3194.8457,2889.7456,2692.468,1977.8245,430.9224,1736.9084,1920.3447,1222.0133,762.0133,1016.2367,777.257,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03804,4505.784,675.18945,2637.8474,4995.9,466.33685,2460.0315,321.43683,631.2579,375.95264,439.33685,1731.4652,1100.4895,2123.8052,360.9114,1483.5823,2156.4114,1724.1368,4462.6475,1350.6,1452.5886,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03247,2744.6875,539.23865,1568.2954,1699.966,412.31818,1530.8693,279.74432,680.8182,410.54544,366.03976,1498.4982,1074.4148,1624.3466,319.25632,3251.0938,2005.7256,1290.9148,6851.108,1388.9716,864.5668,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05702,5453.844,510.34277,2051.68,2412.2795,529.7687,2822.5637,400.23703,7831.929,543.2701,11383.692,2295.707,3295.2397,2985.1755,433.14465,2677.9438,2327.4602,1451.8499,1240.084,1628.8206,1175.5674,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06017,4534.612,464.05493,1878.7876,2082.282,455.75458,2269.1135,358.652,5595.1797,472.39926,9124.165,2787.729,2165.6448,2823.8022,382.9419,2708.7083,2521.1755,1356.8865,1094.5934,1379.8462,1231.7386,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01901,4271.046,394.38507,1255.9482,1477.1552,335.2299,1696.2012,224.95976,640.3046,295.0,290.67816,2014.693,989.7759,6530.517,300.04825,1040.1886,1523.5878,1254.9081,870.93677,886.0,952.3684,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02578,3329.094,733.6368,2574.0557,1742.6709,443.95728,2868.4402,321.76923,705.2094,424.43588,380.34616,1663.7051,1228.0342,1165.4188,346.76367,2525.9277,1946.3691,1436.4573,2824.611,1681.9231,1151.3672,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03477,6383.373,577.1847,1763.2056,2577.3345,626.23694,3359.1777,463.8711,5624.8223,538.76306,9955.889,3721.2751,2437.85,2562.3938,439.2169,1942.2498,2693.3408,1389.4355,1523.439,1740.5992,1568.893,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03906,3596.7778,532.1445,1489.4778,3086.1277,850.7778,2646.889,286.24445,708.3722,393.35,467.08334,1621.4634,1095.3,1361.9277,340.16342,5766.654,1864.4073,1321.1111,2843.078,7317.9834,1348.3585,BM-Her2N75-17
BM-Her2N75-17_scene049_cell02310,2660.711,481.97705,1589.7339,1913.8027,372.53668,1517.555,234.41743,692.62384,368.70642,361.02295,1561.4218,1093.6146,1425.9908,332.39505,3374.4485,1974.679,1274.3165,4358.404,1268.0459,819.35187,BM-Her2N75-17
BM-Her2N75-17_scene049_cell04616,3701.3235,496.75165,1873.3007,2140.304,445.90195,2048.0881,336.96732,7674.608,466.67648,7744.516,2527.4373,4552.8364,3917.1177,398.42407,2154.6099,2134.085,1360.866,961.0948,1210.4314,1001.8246,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06555,3204.5205,580.86224,1879.2194,2287.1836,477.02042,1914.6327,344.7551,2004.9132,415.14795,2027.5765,2914.932,1660.5153,1440.4796,411.5939,1593.8334,2175.0398,1373.7296,1647.852,1308.4694,1374.716,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01766,4251.8286,565.6667,2239.3428,3805.2285,451.69525,2380.4666,281.1905,2549.3523,394.74286,3523.181,3048.4033,3063.0952,3078.0476,2420.6372,1969.7983,2926.2178,1458.1714,1059.7238,1210.0476,1076.8871,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06554,2561.111,579.7692,2159.53,1604.1965,432.5812,2052.7522,269.28204,917.7692,402.55554,648.42737,1632.3469,1222.0427,969.81195,393.42856,1122.249,1888.8204,1206.1196,1303.6239,1241.1538,1159.2858,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01129,4558.0063,610.37976,3200.0823,5375.158,582.8924,2368.0886,278.42404,641.44305,385.70886,358.78482,1721.8048,1157.8418,1624.7595,378.71808,1252.494,2253.7422,1505.6519,2516.5063,1488.0316,1495.335,BM-Her2N75-17
BM-Her2N75-17_scene049_cell06151,3254.353,481.04413,1531.0809,1708.6029,436.18384,1771.5956,301.56616,702.72797,422.90442,408.22058,1482.0931,1183.5515,1212.9927,316.62112,2385.323,1688.6398,1231.7646,3313.8604,1951.125,928.6211,BM-Her2N75-17
BM-Her2N75-17_scene049_cell01930,5594.2646,479.73898,1808.2427,2218.8032,537.1526,2924.4614,300.41727,3698.502,365.96692,3975.0771,6134.2173,3253.7114,3355.4631,771.3883,2594.6492,2893.119,1394.5166,2241.2905,1543.761,1316.0105,BM-Her2N75-17
BM-Her2N75-17_scene049_cell03890,3412.2024,585.0595,2742.1667,4737.155,435.41666,2020.012,281.2619,746.625,384.7619,535.3929,1617.8093,1144.7262,1403.1964,372.80927,1540.5309,1781.8711,1782.3214,4791.0117,2605.6904,1071.5619,BM-Her2N75-17
BM-Her2N75-17_scene049_cell05637,4383.153,456.75,1932.75,2095.9583,433.8889,2366.5833,342.25,4039.014,438.55554,4632.278,3709.6318,2893.7917,2833.1528,412.07272,1775.9454,2169.9092,1347.7084,1010.81946,1387.4305,1004.4318,BM-Her2N75-17
