,CD44_Ring,CD45_Ring,CD4_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene059_cell04871,0.6161446,0.73075217,0.8365005,3.627709,0.23068999,0.37617165,2.0911427,1.6240238,0.88131803,0.40182266,0.63450956,0.6681345,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05682,0.51576483,0.7799281,0.8004581,3.9751487,0.115851566,0.3734796,2.1008496,0.4124723,0.89363754,0.41219583,0.5327182,0.7494687,BM-Her2N75-17
BM-Her2N75-17_scene059_cell02421,1.897161,2.0318737,1.8885962,0.2501829,0.072733834,0.28551194,0.35815957,0.29713985,0.9279605,0.5600648,0.52339464,0.53550255,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00781,1.0269374,0.7262141,1.0929208,0.26641816,0.08925266,0.27265605,0.39712614,0.43179297,0.77603555,0.676375,0.68553525,0.61996204,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01201,0.8184254,0.53815025,0.5603778,0.3149477,0.102376066,0.26813725,0.4656166,0.32409626,0.82439905,0.93736756,1.4869432,0.47028124,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01976,0.9489744,0.8120731,1.2308886,0.28545627,0.09438414,0.31274554,0.43317962,0.33977535,0.94036275,1.2709455,0.6256386,0.648983,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05448,0.437861,0.63374674,0.6470557,2.571289,0.096743785,0.34616417,1.0982755,0.790382,0.81248933,0.26228645,0.41144618,0.5621649,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01126,0.56479174,0.5985352,0.70871043,3.683011,0.117448166,0.33695698,2.7957897,0.34696755,0.8957407,0.4570335,0.53600705,0.79767007,BM-Her2N75-17
BM-Her2N75-17_scene059_cell06378,0.46780518,0.57548136,0.6416818,3.111626,0.06518778,0.29527873,1.1834706,0.3079152,0.80009764,0.36695933,0.4797258,0.62842876,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04692,1.2703689,1.2814971,4.2643642,0.22680448,0.07866769,0.2806814,0.43022364,0.28512827,1.9364889,0.5284964,0.4213939,0.5411336,BM-Her2N75-17
BM-Her2N75-17_scene059_cell02622,0.58318835,0.5315818,0.5927556,0.30975673,0.078033514,0.2559057,0.41333464,0.2934964,0.81029534,0.7542391,0.6312561,0.45087317,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05486,0.5286299,0.72567433,0.76143926,2.978988,0.11865398,0.3938997,2.4608324,0.42624325,0.8622482,0.33975905,0.47433826,0.580145,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01426,0.42753372,0.36945248,0.40929118,0.24086055,0.06900358,0.26103428,0.3643632,0.28578702,0.7291829,0.36528897,0.46645725,0.38267767,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00827,2.487453,2.0760434,3.1220076,0.23196055,0.10405913,0.32592738,0.38410184,0.36334804,1.1374048,0.90226644,0.88779205,0.7779745,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00715,0.57403976,0.6516146,0.72102225,4.225545,0.12475021,0.38295183,2.765054,0.32231644,0.8831444,0.4573955,0.5074407,0.895917,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00148,1.0014269,0.41725346,0.3766093,0.24784255,0.117328145,0.24227825,0.38505566,0.2712564,0.71485674,0.37529132,1.0068915,0.31454736,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00854,0.6436521,0.7379553,0.75277835,3.0175004,0.1306571,0.4054948,2.3237197,1.0282754,0.81788135,0.35898423,0.5004877,0.7283948,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00886,0.53459173,0.42346752,0.46566963,2.1235251,0.076987766,0.28242704,1.267453,0.30711454,0.798291,0.36303937,0.45323944,0.7597842,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04320,1.2082925,0.69245976,1.1203382,0.22462933,0.08473581,0.26713645,0.3856212,0.28080204,0.8017333,1.0683795,0.47894925,0.58619285,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01648,1.447283,0.67896426,0.6825537,1.3164115,1.0273905,0.35775575,1.1252093,0.39557463,0.8769121,0.4911582,0.92112607,0.7470499,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01311,0.43217015,0.39435813,0.4459564,0.23669197,0.07198396,0.28523076,0.3623283,0.2913965,0.77488214,0.58152676,0.486714,0.5831389,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01060,0.61656135,0.71312624,0.7631817,1.6142215,0.12275024,0.32878485,1.0860196,0.35964078,0.95913416,0.3837666,0.57020634,0.6698698,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01057,0.6002573,0.61920536,0.7307787,4.2412496,0.12522556,0.39096045,1.7510042,0.34651142,0.876817,0.45017257,0.52930915,0.8179385,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00989,1.6021868,0.5491002,0.5455379,0.30752635,0.35429433,0.275577,0.51395094,0.31030568,0.8018973,0.89941025,0.84620875,0.47223243,BM-Her2N75-17
BM-Her2N75-17_scene059_cell03559,1.459614,0.5154169,0.5990901,0.24179326,0.076072246,0.2934008,0.4280927,0.2984038,0.7884193,0.92291224,3.486538,0.74547523,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05131,0.63825,0.7910299,0.81320834,2.2061498,0.17930311,0.4625738,2.1316516,0.4056775,0.8454497,0.35912433,0.5216891,0.67570996,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01040,1.1795022,0.9395332,0.6274062,0.22453293,0.07830591,0.28318134,0.36204588,0.2819769,1.0464783,0.7379992,0.9754805,0.64861834,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00878,0.6067051,0.54373664,0.61075306,2.4472132,0.11116553,0.37599042,2.0871146,3.7863643,0.82252795,0.36547112,0.46201473,0.71769714,BM-Her2N75-17
BM-Her2N75-17_scene059_cell02901,0.44061652,0.55109626,0.7634826,0.24004935,0.061624665,0.3261087,0.3509804,0.28680825,0.7546272,0.36697978,0.46417454,0.628566,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05824,1.0002447,0.77021027,0.81142086,2.9464478,0.34470403,0.38859674,2.046616,1.1887051,0.87438035,0.4261239,0.80952823,0.6369281,BM-Her2N75-17
BM-Her2N75-17_scene059_cell06183,0.9998623,0.88019115,1.3553299,0.27704495,0.078265816,0.28114974,0.4988506,2.355227,0.78048253,0.81111944,0.4863814,0.4529854,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00786,0.61550105,0.35870215,0.38175064,0.23388854,0.07769626,0.23944452,0.37635508,0.29860914,0.7065396,0.294374,0.954255,0.32649136,BM-Her2N75-17
BM-Her2N75-17_scene059_cell01016,1.0473391,0.5767348,0.5945985,1.8250036,0.17475726,0.3493663,0.97857416,0.33757308,0.80048674,0.3610234,0.59081125,0.7391013,BM-Her2N75-17
BM-Her2N75-17_scene059_cell04117,0.6013295,0.7673081,1.0216922,0.21260266,0.07004627,0.28682885,0.32213342,0.28174585,0.8675691,0.8669285,0.5674945,0.7848608,BM-Her2N75-17
BM-Her2N75-17_scene059_cell02085,1.5999864,0.5867733,0.6408496,1.498186,0.83860105,0.3875989,1.0450636,0.41296247,0.8195854,0.47916055,1.1855893,0.65519696,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05552,0.5235942,0.80375254,0.8475212,3.4710433,0.12710823,0.37796858,1.9737474,0.401309,0.92539525,0.42207482,0.54113585,0.7959404,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05984,0.45793182,0.7083636,0.8619389,7.831774,0.13882011,0.3263487,1.0420789,0.33273283,0.93361205,0.40751588,0.51394695,0.5796505,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05160,0.7436967,0.76477885,0.84061944,4.002767,0.19647026,0.4870467,3.945308,0.4642852,0.8742881,0.41169047,0.58172536,0.6925825,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00965,0.58917797,0.63521856,0.7501206,3.1214733,0.12030148,0.35985565,2.6061022,1.9039453,0.86509395,0.43786654,0.5284673,0.85136783,BM-Her2N75-17
BM-Her2N75-17_scene059_cell00564,0.56267047,0.7479816,1.5403163,0.23475668,0.074261226,0.33294094,0.33529,0.3013678,0.7802591,0.66869956,0.5593936,0.85075796,BM-Her2N75-17
BM-Her2N75-17_scene059_cell03357,1.1526403,0.46617004,0.49138895,0.24116744,0.06840933,0.2798825,0.35632846,0.27773267,0.7347551,0.4519701,0.42044985,0.5825628,BM-Her2N75-17
BM-Her2N75-17_scene059_cell05846,0.43346065,0.53763956,0.638069,6.432401,0.0951802,0.28842714,0.7397094,0.3227485,0.79375,0.28024113,0.38907135,0.49968097,BM-Her2N75-17
