,CD44_Ring,CD45_Ring,CD4_Ring,CD8_Ring,CK14_Ring,CK19_Ring,CK5_Ring,ER_Nuclei,Ecad_Ring,HER2_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-17_scene017_cell03551,1.1185799,0.790069,0.6443105,1.0252675,0.62268555,0.2865256,0.7032259,0.51317644,0.46047792,0.65099436,0.33670193,1.0451276,1.0100385,1.0639534,0.79944503,BM-Her2N75-17
BM-Her2N75-17_scene017_cell04388,0.9787811,0.6925737,0.57980525,0.47037992,0.44512063,0.2659303,0.6353942,0.4078463,0.4479393,0.580422,0.31264275,0.79440606,0.2884749,0.592343,0.5540592,BM-Her2N75-17
BM-Her2N75-17_scene017_cell05613,0.6338984,0.5353885,0.5681033,0.59619015,0.6650909,0.95142657,0.7824118,1.3868775,1.8388628,0.82203144,7.73801,0.8282772,0.39696658,0.5879601,0.6339248,BM-Her2N75-17
BM-Her2N75-17_scene017_cell03038,1.1590817,0.73414576,1.3123463,1.0115623,0.8082861,0.3534609,0.6812516,1.0089418,0.66918856,1.2144171,0.40781277,1.2103754,0.63758683,1.2403576,1.8033205,BM-Her2N75-17
BM-Her2N75-17_scene017_cell05631,0.7032961,0.60498977,0.43408915,0.5980937,0.45169386,0.24513812,0.5818003,0.3661405,0.4126595,0.6124978,0.29097706,0.8954734,0.308672,0.56648356,0.49773106,BM-Her2N75-17
BM-Her2N75-17_scene017_cell09214,0.7381406,0.5577767,0.3720939,0.53079647,0.398588,0.27565822,0.656542,0.3346744,0.44305354,0.32415548,0.28323162,0.7571307,0.33842418,0.36752042,0.37574843,BM-Her2N75-17
BM-Her2N75-17_scene017_cell07758,0.6143568,0.47951192,0.6507838,0.5659706,0.47275245,0.2536439,0.6447664,0.3793413,0.42948312,0.66764444,0.29663825,0.77168274,0.4955516,0.52577835,0.51550406,BM-Her2N75-17
BM-Her2N75-17_scene017_cell07906,0.63951266,0.5936283,0.60904086,0.6397498,0.65066075,1.1329507,0.7483412,3.2516716,1.6190907,0.86916417,0.32396537,0.9120093,0.36588806,0.50519186,0.64288396,BM-Her2N75-17
BM-Her2N75-17_scene017_cell09286,0.50271386,0.5216136,0.43827212,0.38147524,0.5269518,0.8365793,0.7684337,1.0138143,0.84517896,0.4235275,0.29841343,0.7770301,0.200427,0.28741312,0.35639507,BM-Her2N75-17
BM-Her2N75-17_scene017_cell08140,0.6369816,0.5769573,0.59580094,0.6076507,0.6113039,2.7072468,0.882213,1.2823262,1.833536,0.73612124,0.32501245,0.8481725,0.34158126,0.53762776,0.5613538,BM-Her2N75-17
