,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene059_cell04422,-0.2201915,-0.16947159,-0.22859873,-0.18836266,-0.5633472,-0.1267547,-0.35441977,-0.4073066,-0.13981938,-0.48792973,-0.102322906,-0.3606901,-0.30556905,-0.16633315,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04924,0.78888184,1.2253083,-0.31088403,-0.11690059,-0.54909354,0.06711341,-0.36014646,-0.38582233,-0.1408734,-0.43058595,-0.04570112,0.078817196,0.0035516066,-0.071002975,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01874,-0.2955284,0.030001462,-0.032640357,0.41960087,1.6937804,0.1919775,1.3862212,-0.32114902,0.63378876,1.0487498,0.04772785,-0.40551588,-0.0005170661,-0.01059355,BM-Her2N75-18
BM-Her2N75-18_scene059_cell01182,0.21039002,-0.06910443,0.34741315,0.07734361,-0.52753067,-0.027934454,-0.34737337,-0.40165776,-0.13934444,-0.38509634,-0.07263371,0.079583414,-0.06969356,-0.16034539,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05474,-0.31962264,0.010170937,-0.16280963,0.21056929,0.5010649,0.14950925,1.0695521,-0.27641264,0.5604738,2.80204,-0.00093862694,-0.5241669,-0.17939484,-0.13589586,BM-Her2N75-18
BM-Her2N75-18_scene059_cell02381,0.30263966,0.9596934,1.9913806,-0.1662913,-0.5365027,-0.068768345,-0.3597028,-0.35850197,-0.15075581,-0.47217023,0.1061506,-0.32533848,-0.16902551,-0.031185346,BM-Her2N75-18
BM-Her2N75-18_scene059_cell06138,-0.2772739,0.11667621,0.034314793,0.37009838,1.6416802,0.2849067,1.5976202,-0.24928899,0.39832947,4.4979324,0.02946314,-0.28858966,-0.19720012,-0.14072527,BM-Her2N75-18
BM-Her2N75-18_scene059_cell03517,0.6919195,-0.09350598,0.06123404,-0.062143117,-0.54626834,-0.08156406,-0.34812877,-0.28847593,-0.119635835,-0.43386665,0.052416828,0.18661739,0.73701274,0.116662905,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05306,0.8445036,0.5719591,1.7821339,0.06304857,-0.5414016,0.08314253,-0.35685164,-0.3739959,-0.12666894,-0.37878433,0.072556406,1.2489624,0.17015535,-0.017033892,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05909,0.33452076,-0.10916567,-0.23098905,0.23190811,-0.52931666,0.023880787,-0.3321429,-0.34957027,-0.11487806,-0.22610584,0.052925732,0.91416025,0.9395342,0.06245403,BM-Her2N75-18
BM-Her2N75-18_scene059_cell04724,-0.3227949,0.08080578,0.0032446203,0.31306878,1.6330917,0.2072438,2.1105473,-0.21471925,0.97135293,-0.16846868,0.056776967,-0.46515018,-0.17934644,-0.07892974,BM-Her2N75-18
BM-Her2N75-18_scene059_cell05177,-0.39552233,0.17519158,0.17527615,0.21265158,3.177984,0.3436947,3.464121,-0.27609113,0.40100816,1.722146,0.065524906,-0.46726197,-0.18608564,-0.056341603,BM-Her2N75-18
BM-Her2N75-18_scene059_cell00596,-0.29442483,0.087225914,0.007801753,0.20383719,1.9403999,0.14708179,2.2809668,-0.22476937,1.1242421,-0.25756755,0.0724816,-0.39523196,-0.07288896,0.13005762,BM-Her2N75-18
