,CD44_Ring,CD45_Ring,CD4_Ring,CK14_Ring,CK19_Ring,CK5_Ring,CK7_Ring,ER_Nuclei,Ecad_Ring,Ki67_Nuclei,PD1_Ring,Vim_Ring,aSMA_Ring,pHH3_Nuclei,batch
BM-Her2N75-18_scene017_cell02936,0.5826269,0.44234008,0.58502597,0.43327358,0.63830775,0.3698894,0.20110115,0.72546583,0.263711,0.49215636,0.7204196,0.44449106,0.5661055,0.5180675,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02578,0.91459376,0.42265457,0.54103523,0.4440884,0.20942296,0.36770278,0.03492115,0.48375818,0.17840381,0.47229564,0.71078503,0.44880775,0.584987,0.58770835,BM-Her2N75-18
BM-Her2N75-18_scene017_cell00052,0.62214285,0.57542616,0.6090733,0.62461126,0.4051255,0.50124794,0.16525745,2.5448637,0.43434608,0.5011775,0.7150328,0.48568782,0.60379773,0.5965553,BM-Her2N75-18
BM-Her2N75-18_scene017_cell07367,0.62556267,0.47730598,0.5162875,0.38844872,0.18510391,0.36203018,0.030747,0.42591208,0.18099053,0.41777393,0.70092034,0.3236631,0.48180246,0.49919266,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02558,0.854298,0.55057687,1.0947679,0.33827385,0.19520266,0.35361612,0.027819704,0.4409093,0.17289962,0.44431216,0.6998476,0.32060587,0.49179173,0.42873186,BM-Her2N75-18
BM-Her2N75-18_scene017_cell08485,1.4474634,0.73486334,1.0639089,0.53094643,0.20299187,0.3700084,0.034124054,0.49653605,0.18625125,0.42271528,0.68898535,0.43483648,0.5252382,0.7475926,BM-Her2N75-18
BM-Her2N75-18_scene017_cell01193,0.67748314,0.4578164,0.50267076,0.3885897,0.1900763,0.37703246,0.031431008,0.46726382,0.18422072,0.46666276,0.7760545,0.5700729,0.5795532,0.49080935,BM-Her2N75-18
BM-Her2N75-18_scene017_cell06459,0.8801588,0.487479,0.80573,0.41361964,0.19462536,0.36533463,0.03337291,0.523324,0.18809034,0.48021108,0.7336312,0.5093402,0.53480923,0.6284285,BM-Her2N75-18
BM-Her2N75-18_scene017_cell03711,0.6807577,0.43722266,0.875257,0.47266683,0.19861417,0.3423854,0.039138235,1.0816562,0.17709072,0.52547085,0.7594187,0.42015508,0.62993103,1.6397728,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02845,0.4069709,0.4349119,0.55496246,0.4209473,2.9376063,0.43426588,1.611561,0.5413702,0.26546434,0.43753082,0.67625165,0.246795,0.48803723,0.4247229,BM-Her2N75-18
BM-Her2N75-18_scene017_cell00158,0.62976134,0.74937385,0.60396385,0.5766628,2.02106,0.52719045,1.1659476,0.71368355,0.4162615,0.47408727,0.7210747,1.121584,0.6160714,0.6037909,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02775,0.4354195,0.49248365,0.5745179,0.4525555,0.67137736,0.39089787,0.29984558,4.2672153,0.39992645,0.46449813,0.7049663,0.2954194,0.5452406,0.5000514,BM-Her2N75-18
BM-Her2N75-18_scene017_cell03439,0.44255766,0.4552527,0.61431754,0.49587557,0.8205827,0.38013887,0.26538375,4.814745,0.43657976,0.46600974,0.68973476,0.28949213,0.4810535,0.5552668,BM-Her2N75-18
BM-Her2N75-18_scene017_cell05609,0.73565555,0.52631193,0.6903335,0.5298625,0.77305764,0.3912995,0.1886797,1.1480069,0.47855258,0.47911796,0.77813506,0.41078046,0.67683524,0.7320117,BM-Her2N75-18
BM-Her2N75-18_scene017_cell07127,0.6795618,0.48784208,0.6937209,0.41494092,0.19162624,0.36552706,0.03525171,0.4520412,0.17987448,0.43954527,0.8393129,0.3823718,0.6936983,0.58790064,BM-Her2N75-18
BM-Her2N75-18_scene017_cell03047,0.5296612,0.41124588,0.82415724,0.45918635,0.2040397,0.3336195,0.0331648,0.56130695,0.17376284,0.4346106,0.6900069,0.3989804,0.5608756,0.6462818,BM-Her2N75-18
BM-Her2N75-18_scene017_cell07936,0.4088614,0.48074305,0.574766,0.45593494,1.0463483,0.4175473,0.52645636,1.3025056,0.55083174,3.5184517,0.70316213,0.300364,0.45738575,0.52489555,BM-Her2N75-18
BM-Her2N75-18_scene017_cell05789,0.55467373,0.44743457,0.51957375,0.43170795,0.6708364,0.39282885,0.10294765,0.5084479,0.311548,0.4902154,0.7697917,0.47124577,0.5492036,0.5104962,BM-Her2N75-18
BM-Her2N75-18_scene017_cell06268,0.5011839,0.41464677,0.44706044,0.39248374,0.19920295,0.37184566,0.031154128,0.5033164,0.1897763,0.49076435,0.74320906,0.41038617,0.55558133,0.46105373,BM-Her2N75-18
BM-Her2N75-18_scene017_cell07202,0.47568965,0.4791389,0.5928996,0.5115751,0.81793106,0.40262145,0.48824054,2.7416284,0.6711333,0.47883177,0.7259768,0.29432866,0.4611893,0.49922115,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02893,0.461118,0.5064723,0.6210443,0.55152464,0.7443093,0.44941747,0.3133003,5.286452,0.33835244,0.461406,0.7104821,0.26978537,0.4306875,0.5350447,BM-Her2N75-18
BM-Her2N75-18_scene017_cell05308,1.8328453,0.7684935,1.577398,0.4528973,0.20791285,0.40534422,0.03605879,0.5565689,0.19544432,0.49530107,0.91142344,0.5622135,0.75395435,0.735912,BM-Her2N75-18
BM-Her2N75-18_scene017_cell07473,0.53242016,0.44932875,0.53175074,0.41501936,0.30141175,0.38882178,0.16475427,2.4249787,0.3165806,0.45205474,0.69861597,0.2714715,0.44579434,0.48047307,BM-Her2N75-18
BM-Her2N75-18_scene017_cell03953,0.43885967,0.43403122,0.56103665,0.5509733,0.8645571,0.39595744,0.4051701,1.8631974,0.427443,0.48792416,0.68973464,0.26180646,0.4372512,0.49832377,BM-Her2N75-18
BM-Her2N75-18_scene017_cell05081,0.4765742,0.52547747,0.52725816,0.4375888,0.7368854,0.4163465,0.21310332,5.343362,0.34072986,0.5088588,0.7401708,0.26906168,0.45754588,0.52298677,BM-Her2N75-18
BM-Her2N75-18_scene017_cell00325,0.62235665,0.5737981,0.66403896,0.4772022,0.26798156,0.46926084,0.07488157,0.53975964,0.20845553,0.6244527,0.79185283,0.6418549,0.52740294,0.45681491,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02850,0.6502221,0.42642686,0.795734,0.36037156,0.2549065,0.34017023,0.03649281,0.4628618,0.1788245,0.44887486,0.6782075,0.3547001,0.5430755,0.46779272,BM-Her2N75-18
BM-Her2N75-18_scene017_cell04364,1.3061365,0.70603174,0.99463207,0.4184598,0.18771979,0.38966677,0.032806315,0.45929968,0.1858029,0.4546078,0.7512001,0.4100208,0.57653683,0.55597717,BM-Her2N75-18
BM-Her2N75-18_scene017_cell00863,4.228261,0.4741497,0.7953493,0.40410072,0.19962595,0.37806234,0.030075274,0.52722406,0.188782,0.46227252,0.7529176,0.56361496,0.62798584,0.5260094,BM-Her2N75-18
BM-Her2N75-18_scene017_cell07783,0.44209027,0.41070247,0.47679907,0.363155,0.27664876,0.38030577,0.0526475,0.43749076,0.22404079,0.46398783,0.69389504,0.35928285,0.44346064,0.4465783,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02125,1.155899,0.3858864,0.44814524,0.3818493,0.18188632,0.34254408,0.02890079,0.46105048,0.17467983,0.45002818,0.6699995,0.3257853,0.4854854,0.44487602,BM-Her2N75-18
BM-Her2N75-18_scene017_cell02021,2.1654096,0.5155254,0.77131194,0.43569106,0.1943498,0.40041727,0.031064088,0.51586145,0.19414765,0.48491803,0.7475672,0.96935934,0.6447775,0.5173116,BM-Her2N75-18
BM-Her2N75-18_scene017_cell06828,0.4424323,0.4743167,0.5098794,0.40224448,1.0459949,0.41029695,0.37265256,2.3644042,0.42985836,13.425663,0.6990144,0.23594272,0.43137676,0.4239503,BM-Her2N75-18
