,CD20_perinuc5,CD3_perinuc5,CD4_perinuc5,CD44_perinuc5,CD45_perinuc5,CD68_perinuc5,CK14_cytoplasm,CK19_cytoplasm,Ecad_cytoplasm,ER_nuclei,LamAC_nuclei,PCNA_nuclei,pHH3_nuclei,batch
JE-TMA-43_scene07_cell1922,0.11346469116298451,0.10987255522244282,0.14538441379599154,0.059961581492805116,0.15945620943884983,0.10849823382646566,0.056163264200439246,0.772103844603124,0.19142389059028045,0.5331455725767336,0.3731245963311883,0.07908087655001973,0.3348888066022211,JE-TMA-43
JE-TMA-43_scene07_cell2790,0.35324764493297617,0.36339422242801894,0.07622278100839576,0.4177825557970774,0.2760506417458418,0.2247511893516807,0.647109780767684,0.22239894996285228,0.14278739131963536,0.570667062676847,0.23374516662494615,0.05396117166554391,0.2391388379658025,JE-TMA-43
JE-TMA-43_scene07_cell5345,0.3002386492737744,0.20549398959047604,0.21221392021404706,0.502373338166352,0.5194852933369997,0.3045391471551135,1.5448287207262086,0.06904766518587598,0.7442930181534155,0.5351340202232561,0.25294302279705283,0.07379754447626148,0.49489097855553527,JE-TMA-43
JE-TMA-43_scene07_cell4927,0.7540997521437555,0.4606797116501058,0.47037071570008243,0.22319552298511297,1.1045406518748078,0.10175020537420196,0.031234090240262902,0.02126968891110869,0.037378081239508705,0.5854309971483329,0.18733997934090732,0.3130543494910672,2.479450134126628,JE-TMA-43
JE-TMA-43_scene07_cell3250,0.8476879123917502,1.0513637955331279,1.3245614459931454,0.2671699315733074,1.3031667749649778,0.2573314897444059,0.026259711883362506,0.02629085218701088,0.061463079476655684,0.4916740419081987,0.6582759647621581,0.23451422419525902,0.4313778515701138,JE-TMA-43
JE-TMA-43_scene07_cell1445,0.6339122886307994,0.2796163653827518,0.12243425826234082,0.9859131797709616,0.9422195751414773,0.28166279239024955,0.07662470179483555,0.0915998971553718,0.08071087467323676,0.5005903518293704,0.37874650827196843,0.08948805956852145,0.440131907006159,JE-TMA-43
JE-TMA-43_scene07_cell1930,0.40301767684060136,0.16603460580426965,0.20773302913947178,0.5575586486866921,0.8084061876204692,0.5266864389729335,0.06847323682938908,0.03880883599468111,0.0543418396199764,0.49905893009585955,0.38347735828526963,0.10731576797231143,0.48730549211151114,JE-TMA-43
JE-TMA-43_scene07_cell3777,0.7932317879412775,0.31525817068210066,0.2165979355059335,0.2572084644721878,1.0949121108219633,0.2063019846607661,0.011733562686863385,0.03489587535853528,0.1039238563883377,0.6818923174927105,0.8781076069349192,0.24470190777817988,0.5146474904970235,JE-TMA-43
JE-TMA-43_scene07_cell5160,0.648083659262419,0.20629352739415444,0.07954419134895493,1.196544408021663,0.9086178890295047,0.22575331133506552,0.03243081250853303,0.031940962949646136,0.036377241897040634,0.4593572391830364,0.25997590851460733,0.07241322446685419,0.32433050317213047,JE-TMA-43
JE-TMA-43_scene07_cell892,0.10909195139013106,0.1973678618042518,0.05178241147115908,0.07952719025766004,0.2933250219853946,0.6990685153844948,0.0344891760686891,0.14395476009452118,0.19706828341413338,0.3165543412368945,0.26357758445571694,0.017840824860468528,0.922284056740789,JE-TMA-43
JE-TMA-43_scene07_cell3321,0.5730236091856798,0.2612400189587321,0.15174632623057857,0.13418805974325898,0.8690246988515578,0.24205894128351002,0.009542619896501642,0.03725530791831747,0.0706302876693547,0.7740823279906469,0.7986520070402777,0.5858076843173985,0.3665996443015657,JE-TMA-43
JE-TMA-43_scene07_cell2465,0.3635534065250889,0.3772752761196825,0.5670080189233848,1.181237852263155,1.0147712925302748,0.4245169466803792,0.028018621752440367,0.03838950233682949,0.05296507399522008,0.4504769601542462,0.6860167353843396,0.11688822392578621,0.403280526490457,JE-TMA-43
JE-TMA-43_scene07_cell2624,0.539904517965134,0.23624685353070732,0.20034396588613884,0.4906345714015071,1.0049314664982063,0.15730286295246118,0.027581271543629764,0.0390943382704766,0.037113026367672004,0.31577590218701324,0.46309255659002024,0.1319906790786791,0.3818933337376915,JE-TMA-43
