,HER2,Vim,CD20,CD3,CD31,CD4,CD44,CD45,CD68,CD8,PD1,PDPN,aSMA,CK14,CK17,CK19,CK5,CK7,Ecad,ER,Ki67,LamAC,PCNA,pHH3,batch
JE-TMA-43_scene11_cell1797,9.696221,0.3796198,0.7197391,0.9997141,1.5105036,0.5680129,0.61970776,0.9603361,0.4994937,0.86663747,1.3697481,0.28372273,0.0,0.6973952,1.2227372,1.0098388,0.7287558,2.4732516,0.49256006,0.562925,4.3981943,1.9856634,3.5284758,1.1750635,JE-TMA-43
JE-TMA-43_scene11_cell1781,13.918993,0.21177618,0.75146246,1.057494,1.0013174,0.43160218,0.66846377,0.98528224,0.35124135,0.0032818913,0.92393786,0.059648823,0.0,0.7754776,0.8612281,1.4854288,0.76794165,2.7293272,0.5288637,1.4602134,3.5324883,1.3414736,2.67813,0.879459,JE-TMA-43
JE-TMA-43_scene11_cell5,6.5014634,0.2815824,0.7952476,1.1175929,1.1954601,0.35550106,0.69549185,1.038634,0.33612958,0.0023004496,1.7307801,0.0368006,0.0,0.71691996,0.96154875,1.4847,0.93584454,2.9913895,0.5541329,0.36861613,12.280442,2.1256547,5.580821,1.1914423,JE-TMA-43
JE-TMA-43_scene11_cell1778,8.893706,0.21535099,0.7316605,1.0306492,1.025503,0.49259531,0.6422463,0.9706151,0.14430839,0.0,1.0863307,0.15297751,0.0,0.7373441,0.8429756,1.2811769,0.6560378,2.3846889,0.5189621,1.0177116,5.917044,1.8672675,3.807057,1.1478177,JE-TMA-43
JE-TMA-43_scene11_cell789,9.327942,0.24555962,0.7393784,1.0546144,0.89178306,0.42313206,0.6608392,1.0345471,0.74585474,0.0066060205,0.4760028,0.36300424,0.0,0.8242718,0.97318643,0.9082259,0.9957536,2.0273662,0.5261541,0.26230967,3.5747156,1.3704455,2.948748,1.2381011,JE-TMA-43
JE-TMA-43_scene11_cell1523,8.477015,0.5240638,0.81198275,1.0880661,1.424626,0.57766527,0.70952344,1.1278267,0.95338774,0.25993353,1.0336955,1.1387675,0.0,0.84196216,1.2639015,4.3731294,0.8979335,6.9457226,0.5717094,0.3609369,11.442313,2.1543725,3.9229243,1.4115119,JE-TMA-43
JE-TMA-43_scene11_cell2727,9.038624,0.4375301,0.79135567,1.1211269,1.2671918,0.52231294,0.72763234,1.062065,0.68787277,0.21557537,0.8052976,1.0741733,0.0,0.8679293,1.1209319,1.8720965,0.7814674,3.762163,0.54779404,0.28473613,1.0665572,1.7010329,4.6163435,1.4814857,JE-TMA-43
JE-TMA-43_scene11_cell49,8.739527,0.18333042,0.7371585,1.0433875,0.7157494,0.38142535,0.6474698,1.0148753,0.6440968,0.0,0.7475334,0.19436279,0.0,0.78286004,0.8387554,1.1408633,1.2669457,2.1995924,0.5204368,0.44924173,5.7906203,1.4103501,2.1741104,1.2704339,JE-TMA-43
JE-TMA-43_scene11_cell840,7.5880866,0.4348619,0.70334476,1.0009806,1.745344,0.39398688,0.61547124,0.97005457,0.30226082,0.0,0.4226977,0.011307823,0.0,0.7047049,0.9130259,4.166213,0.6327903,5.3052173,0.4926347,0.5997707,2.275889,1.1072664,0.70135,0.7372701,JE-TMA-43
JE-TMA-43_scene11_cell2382,8.667526,0.40620968,0.77146965,1.067981,1.2348247,0.8029005,0.67488927,1.0726144,0.8199835,2.0614407,0.9036533,0.49560905,0.0,0.94963753,1.1597116,1.0935034,0.8914952,2.8115566,0.54879147,0.4580392,2.9830492,1.8845457,6.2512894,1.1588918,JE-TMA-43
JE-TMA-43_scene11_cell1894,5.450883,0.3768068,0.7421878,1.0456704,1.1674014,0.5033968,0.6582894,1.0131491,0.8266853,0.01115398,1.0414906,0.81189454,0.0,0.88042027,0.86619455,1.7080092,0.78923744,3.6293437,0.52463627,0.5610903,3.9216452,2.413518,3.4844484,1.0179272,JE-TMA-43
