,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-01_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-01,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-01_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-01,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-02_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-02,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-02_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-02,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-02_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-02,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-02_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-02,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-02_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-02,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-03_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-03,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-03_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-03,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-03_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-03,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-03_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-03,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-03_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-03,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-04_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-04,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-04_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-04,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-04_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-04,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-04_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-04,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-04_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-04,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-05_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-05,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-05_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-05,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-05_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-05,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-05_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-05,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-05_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-05,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-06_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-06,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-06_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-06,R1c2,JE-TMA-42,50.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-06_c3_ORG.tif,R1,c3,ORG,JE-TMA-42-Scene-06,CK14,JE-TMA-42,40.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-06_c4_ORG.tif,R1,c4,ORG,JE-TMA-42-Scene-06,Ki67,JE-TMA-42,450.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-06_c5_ORG.tif,R1,c5,ORG,JE-TMA-42-Scene-06,CK19,JE-TMA-42,120.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-07_c1_ORG.tif,R1,c1,ORG,JE-TMA-42-Scene-07,DAPI,JE-TMA-42,10.0,1.0
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-42-Scene-07_c2_ORG.tif,R1,c2,ORG,JE-TMA-42-Scene-07,R1c2,JE-TMA-42,50.0,1.0
