,rounds,color,imagetype,scene,marker,tissue,exposure,round_int,result
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,160.0,5.0,495.845098628587
Registered-R6_blank.blank.blank.blank_4165NPanc-76-Scene-001_c1_ORG.tif,R6,c1,ORG,4165NPanc-76-Scene-001,DAPI,4165NPanc-76,7.0,6.0,4024.6961747161254
Registered-R6_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R6,c2,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,12.0,6.0,436.88528493879176
Registered-R6_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R6,c3,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,35.0,6.0,217.14171619076166
Registered-R6_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R6,c4,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,120.0,6.0,387.9350170015493
Registered-R6_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R6,c5,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,160.0,6.0,498.6529311827655
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R1,c1,ORG,4165NPanc-77-Scene-001,DAPI,4165NPanc-77,10.0,1.0,1774.7025646337092
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R1,c2,ORG,4165NPanc-77-Scene-001,CK7,4165NPanc-77,12.0,1.0,847.2121174897957
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R1,c3,ORG,4165NPanc-77-Scene-001,CoxIV,4165NPanc-77,35.0,1.0,926.1488601895662
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c4_ORG.tif,R1,c4,ORG,4165NPanc-77-Scene-001,LaminB1,4165NPanc-77,120.0,1.0,2175.2292079458593
