,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-116_2017_12_01__5466_c2_ORG.tif,R5,c2,ORG,44290-116,LaminB1,44290-116,90.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-116_2017_12_01__5466_c3_ORG.tif,R5,c3,ORG,44290-116,Ecad,44290-116,30.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-116_2017_12_01__5466_c4_ORG.tif,R5,c4,ORG,44290-116,CD44,44290-116,60.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44290-116_2017_12_01__5466_c5_ORG.tif,R5,c5,ORG,44290-116,LaminAC+CD45,44290-116,600.0,5.0
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c1_ORG.tif,R5,c1,ORG,44294-116,DAPI,44294-116,5.0,5.0
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c2_ORG.tif,R5,c2,ORG,44294-116,aSMA,44294-116,10.0,5.0
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c3_ORG.tif,R5,c3,ORG,44294-116,CD68,44294-116,50.0,5.0
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c4_ORG.tif,R5,c4,ORG,44294-116,Ki67,44294-116,50.0,5.0
Registered-R5_aSMA.CD68.Ki67.Ecad_44294-116_c5_ORG.tif,R5,c5,ORG,44294-116,Ecad,44294-116,1000.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-117_2017_12_01__5467_c1_ORG.tif,R5,c1,ORG,44294-117,DAPI,44294-117,4.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-117_2017_12_01__5467_c2_ORG.tif,R5,c2,ORG,44294-117,LaminB1,44294-117,90.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-117_2017_12_01__5467_c3_ORG.tif,R5,c3,ORG,44294-117,Ecad,44294-117,30.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-117_2017_12_01__5467_c4_ORG.tif,R5,c4,ORG,44294-117,CD44,44294-117,85.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-117_2017_12_01__5467_c5_ORG.tif,R5,c5,ORG,44294-117,LaminAC+CD45,44294-117,700.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-118_2017_12_01__5468_c1_ORG.tif,R5,c1,ORG,44294-118,DAPI,44294-118,4.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-118_2017_12_01__5468_c2_ORG.tif,R5,c2,ORG,44294-118,LaminB1,44294-118,90.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-118_2017_12_01__5468_c3_ORG.tif,R5,c3,ORG,44294-118,Ecad,44294-118,50.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-118_2017_12_01__5468_c4_ORG.tif,R5,c4,ORG,44294-118,CD44,44294-118,100.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-118_2017_12_01__5468_c5_ORG.tif,R5,c5,ORG,44294-118,LaminAC+CD45,44294-118,900.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-119_2017_12_01__5469_c1_ORG.tif,R5,c1,ORG,44294-119,DAPI,44294-119,4.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-119_2017_12_01__5469_c2_ORG.tif,R5,c2,ORG,44294-119,LaminB1,44294-119,90.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-119_2017_12_01__5469_c3_ORG.tif,R5,c3,ORG,44294-119,Ecad,44294-119,40.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-119_2017_12_01__5469_c4_ORG.tif,R5,c4,ORG,44294-119,CD44,44294-119,100.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-119_2017_12_01__5469_c5_ORG.tif,R5,c5,ORG,44294-119,LaminAC+CD45,44294-119,1500.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-120_2017_12_01__5470_c1_ORG.tif,R5,c1,ORG,44294-120,DAPI,44294-120,4.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-120_2017_12_01__5470_c2_ORG.tif,R5,c2,ORG,44294-120,LaminB1,44294-120,90.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-120_2017_12_01__5470_c3_ORG.tif,R5,c3,ORG,44294-120,Ecad,44294-120,50.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-120_2017_12_01__5470_c4_ORG.tif,R5,c4,ORG,44294-120,CD44,44294-120,100.0,5.0
Registered-(R6)_LaminB1.Ecad.CD44.LaminAC+CD45_44294-120_2017_12_01__5470_c5_ORG.tif,R5,c5,ORG,44294-120,LaminAC+CD45,44294-120,800.0,5.0
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44290-112_2017_12_01__5461_c1_ORG.tif,R6,c1,ORG,44290-112,DAPI,44290-112,4.0,6.0
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44290-112_2017_12_01__5461_c2_ORG.tif,R6,c2,ORG,44290-112,LaminB1,44290-112,90.0,6.0
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44290-112_2017_12_01__5461_c3_ORG.tif,R6,c3,ORG,44290-112,Ecad,44290-112,30.0,6.0
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44290-112_2017_12_01__5461_c4_ORG.tif,R6,c4,ORG,44290-112,CD44,44290-112,60.0,6.0
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44290-112_2017_12_01__5461_c5_ORG.tif,R6,c5,ORG,44290-112,LaminAC+CD45,44290-112,1500.0,6.0
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44294-116_2017_12_01__5462_c1_ORG.tif,R6,c1,ORG,44294-116,DAPI,44294-116,4.0,6.0
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44294-116_2017_12_01__5462_c2_ORG.tif,R6,c2,ORG,44294-116,LaminB1,44294-116,90.0,6.0
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44294-116_2017_12_01__5462_c3_ORG.tif,R6,c3,ORG,44294-116,Ecad,44294-116,50.0,6.0
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44294-116_2017_12_01__5462_c4_ORG.tif,R6,c4,ORG,44294-116,CD44,44294-116,100.0,6.0
Registered-R6_LaminB1.Ecad.CD44.LaminAC+CD45_44294-116_2017_12_01__5462_c5_ORG.tif,R6,c5,ORG,44294-116,LaminAC+CD45,44294-116,1500.0,6.0
