,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-06_c4_ORG.tif,R5Q,c4,ORG,HER2B-K175-Scene-06,R5Qc4,HER2B-K175,500.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-06_c5_ORG.tif,R5Q,c5,ORG,HER2B-K175-Scene-06,R5Qc5,HER2B-K175,500.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-08_c1_ORG.tif,R5Q,c1,ORG,HER2B-K175-Scene-08,DAPI,HER2B-K175,15.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-08_c2_ORG.tif,R5Q,c2,ORG,HER2B-K175-Scene-08,R5Qc2,HER2B-K175,50.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-08_c3_ORG.tif,R5Q,c3,ORG,HER2B-K175-Scene-08,R5Qc3,HER2B-K175,200.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-08_c4_ORG.tif,R5Q,c4,ORG,HER2B-K175-Scene-08,R5Qc4,HER2B-K175,500.0,5.5
Registered-R5Q_R5Qc2.R5Qc3.R5Qc4.R5Qc5_HER2B-K175-Scene-08_c5_ORG.tif,R5Q,c5,ORG,HER2B-K175-Scene-08,R5Qc5,HER2B-K175,500.0,5.5
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-02_c1_ORG.tif,R6,c1,ORG,HER2B-K175-Scene-02,DAPI,HER2B-K175,10.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-02_c2_ORG.tif,R6,c2,ORG,HER2B-K175-Scene-02,CK7,HER2B-K175,20.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-02_c3_ORG.tif,R6,c3,ORG,HER2B-K175-Scene-02,CD68,HER2B-K175,300.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-02_c4_ORG.tif,R6,c4,ORG,HER2B-K175-Scene-02,PD1,HER2B-K175,800.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-02_c5_ORG.tif,R6,c5,ORG,HER2B-K175-Scene-02,CD45,HER2B-K175,400.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-06_c1_ORG.tif,R6,c1,ORG,HER2B-K175-Scene-06,DAPI,HER2B-K175,10.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-06_c2_ORG.tif,R6,c2,ORG,HER2B-K175-Scene-06,CK7,HER2B-K175,20.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-06_c3_ORG.tif,R6,c3,ORG,HER2B-K175-Scene-06,CD68,HER2B-K175,300.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-06_c4_ORG.tif,R6,c4,ORG,HER2B-K175-Scene-06,PD1,HER2B-K175,800.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-06_c5_ORG.tif,R6,c5,ORG,HER2B-K175-Scene-06,CD45,HER2B-K175,400.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-08_c1_ORG.tif,R6,c1,ORG,HER2B-K175-Scene-08,DAPI,HER2B-K175,10.0,6.0
Registered-R6_CK7.CD68.PD1.CD45_HER2B-K175-Scene-08_c2_ORG.tif,R6,c2,ORG,HER2B-K175-Scene-08,CK7,HER2B-K175,20.0,6.0
